"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00066","RGI2000-v7.0-G-01-00062",0,1,-1,1,1534
"RGI2000-v7.0-L-01-00067","RGI2000-v7.0-G-01-00063",0,1,-1,1,1739
"RGI2000-v7.0-L-01-00068","RGI2000-v7.0-G-01-00064",0,1,-1,1,1780
"RGI2000-v7.0-L-01-00069","RGI2000-v7.0-G-01-00065",0,1,-1,1,1939
"RGI2000-v7.0-L-01-00070","RGI2000-v7.0-G-01-00066",0,1,-1,1,526
"RGI2000-v7.0-L-01-00071","RGI2000-v7.0-G-01-00067",0,1,-1,1,256
"RGI2000-v7.0-L-01-00072","RGI2000-v7.0-G-01-00068",0,1,-1,1,659
"RGI2000-v7.0-L-01-00073","RGI2000-v7.0-G-01-00069",0,1,-1,1,580
"RGI2000-v7.0-L-01-00074","RGI2000-v7.0-G-01-00070",0,1,-1,1,609
"RGI2000-v7.0-L-01-00075","RGI2000-v7.0-G-01-00071",0,1,-1,1,801
"RGI2000-v7.0-L-01-00076","RGI2000-v7.0-G-01-00072",0,1,-1,1,751
"RGI2000-v7.0-L-01-00077","RGI2000-v7.0-G-01-00073",0,1,-1,1,481
"RGI2000-v7.0-L-01-00078","RGI2000-v7.0-G-01-00074",0,1,-1,1,1641
"RGI2000-v7.0-L-01-00079","RGI2000-v7.0-G-01-00075",0,1,-1,1,3043
"RGI2000-v7.0-L-01-00080","RGI2000-v7.0-G-01-00076",0,1,-1,1,1609
"RGI2000-v7.0-L-01-00081","RGI2000-v7.0-G-01-00077",0,1,-1,1,3011
"RGI2000-v7.0-L-01-00082","RGI2000-v7.0-G-01-00078",0,1,-1,1,1402
"RGI2000-v7.0-L-01-00083","RGI2000-v7.0-G-01-00079",0,1,-1,1,483
"RGI2000-v7.0-L-01-00084","RGI2000-v7.0-G-01-00080",0,1,-1,1,824
"RGI2000-v7.0-L-01-00085","RGI2000-v7.0-G-01-00081",0,1,-1,1,511
"RGI2000-v7.0-L-01-00086","RGI2000-v7.0-G-01-00082",0,1,-1,1,432
"RGI2000-v7.0-L-01-00087","RGI2000-v7.0-G-01-00083",0,1,-1,1,388
"RGI2000-v7.0-L-01-00088","RGI2000-v7.0-G-01-00084",0,1,-1,1,261
"RGI2000-v7.0-L-01-00089","RGI2000-v7.0-G-01-00085",0,1,-1,1,448
"RGI2000-v7.0-L-01-00090","RGI2000-v7.0-G-01-00086",0,1,-1,1,1194
"RGI2000-v7.0-L-01-00091","RGI2000-v7.0-G-01-00087",0,1,-1,1,544
"RGI2000-v7.0-L-01-00092","RGI2000-v7.0-G-01-00088",0,1,-1,1,332
"RGI2000-v7.0-L-01-00093","RGI2000-v7.0-G-01-00089",0,1,-1,1,444
"RGI2000-v7.0-L-01-00094","RGI2000-v7.0-G-01-00090",0,1,-1,1,635
"RGI2000-v7.0-L-01-00095","RGI2000-v7.0-G-01-00091",0,1,-1,1,388
"RGI2000-v7.0-L-01-00096","RGI2000-v7.0-G-01-00092",0,1,-1,1,524
"RGI2000-v7.0-L-01-00097","RGI2000-v7.0-G-01-00093",0,1,-1,1,372
"RGI2000-v7.0-L-01-00098","RGI2000-v7.0-G-01-00094",0,1,-1,1,977
"RGI2000-v7.0-L-01-00099","RGI2000-v7.0-G-01-00095",0,1,-1,1,1850
"RGI2000-v7.0-L-01-00100","RGI2000-v7.0-G-01-00096",0,1,-1,1,677
"RGI2000-v7.0-L-01-00101","RGI2000-v7.0-G-01-00097",0,0,1,1,386
"RGI2000-v7.0-L-01-00102","RGI2000-v7.0-G-01-00097",1,1,-1,2,875
"RGI2000-v7.0-L-01-00103","RGI2000-v7.0-G-01-00098",0,1,-1,1,1056
"RGI2000-v7.0-L-01-00104","RGI2000-v7.0-G-01-00099",0,0,1,1,576
"RGI2000-v7.0-L-01-00105","RGI2000-v7.0-G-01-00099",1,1,-1,2,897
"RGI2000-v7.0-L-01-00106","RGI2000-v7.0-G-01-00100",0,1,-1,1,880
