Region,Glacier_ID,Point_Index,Longitude,Latitude,Distance_m
Alaska,RGI2000-v7.0-G-01-13271,61,-140.76157676632744,60.181218208599276,30500
Alaska,RGI2000-v7.0-G-01-13271,62,-140.77027083374358,60.17999930831893,31000
Alaska,RGI2000-v7.0-G-01-13271,63,-140.7789212198446,60.1787109089967,31500
Alaska,RGI2000-v7.0-G-01-13271,64,-140.7878629010212,60.178072052547556,32000
Alaska,RGI2000-v7.0-G-01-13271,65,-140.79690068496325,60.177971908603446,32500
Alaska,RGI2000-v7.0-G-01-13271,66,-140.80593176590295,60.177771906087145,33000
Alaska,RGI2000-v7.0-G-01-13271,67,-140.81457841569426,60.17653565992686,33500
Alaska,RGI2000-v7.0-G-01-13271,68,-140.82316040882864,60.17530159915011,34000
Alaska,RGI2000-v7.0-G-01-13271,69,-140.8309849890426,60.17317376977684,34500
Alaska,RGI2000-v7.0-G-01-13271,70,-140.83917431450877,60.1713072226464,35000
Alaska,RGI2000-v7.0-G-01-13271,71,-140.84627274826394,60.16854376100085,35500
Alaska,RGI2000-v7.0-G-01-13271,72,-140.85293002954492,60.16552001841824,36000
Alaska,RGI2000-v7.0-G-01-13271,73,-140.85934868516588,60.16237231281377,36500
Alaska,RGI2000-v7.0-G-01-13271,74,-140.8656363532727,60.15916079920643,37000
Alaska,RGI2000-v7.0-G-01-13271,75,-140.87185803212932,60.155918135271435,37500
Alaska,RGI2000-v7.0-G-01-13271,76,-140.87800910883342,60.15264299973133,38000
Alaska,RGI2000-v7.0-G-01-13271,77,-140.88402793367698,60.14930883570101,38500
Alaska,RGI2000-v7.0-G-01-13271,78,-140.88927407771382,60.14568721826913,39000
Alaska,RGI2000-v7.0-G-01-13271,79,-140.89476348730585,60.142140476122016,39500
Alaska,RGI2000-v7.0-G-01-13271,80,-140.89960928307272,60.138407998864736,40000
Alaska,RGI2000-v7.0-G-01-13271,81,-140.90171820957653,60.134069634427796,40500
Alaska,RGI2000-v7.0-G-01-13271,82,-140.90250818396953,60.12961924005573,41000
Alaska,RGI2000-v7.0-G-01-13271,83,-140.9022228500138,60.12516811201341,41500
Alaska,RGI2000-v7.0-G-01-13271,84,-140.89966231982328,60.12089505456385,42000
Alaska,RGI2000-v7.0-G-01-13271,85,-140.8957006695659,60.11688321940926,42500
Alaska,RGI2000-v7.0-G-01-13271,86,-140.89086807320987,60.11310806962425,43000
Alaska,RGI2000-v7.0-G-01-13271,87,-140.8854832754655,60.109520401746636,43500
Alaska,RGI2000-v7.0-G-01-13271,88,-140.8797347679179,60.10607497894287,44000
Alaska,RGI2000-v7.0-G-01-13271,89,-140.87373631376988,60.10273654673795,44500
Alaska,RGI2000-v7.0-G-01-13271,90,-140.86755897518012,60.099479022286566,45000
Alaska,RGI2000-v7.0-G-01-13271,91,-140.86121735226283,60.096299281801684,45500
Alaska,RGI2000-v7.0-G-01-13271,92,-140.85488609239545,60.093114771170974,46000
Alaska,RGI2000-v7.0-G-01-13271,93,-140.84856545147318,60.089925381170545,46500
Alaska,RGI2000-v7.0-G-01-13271,94,-140.84226077487583,60.086728534327634,47000
Alaska,RGI2000-v7.0-G-01-13271,95,-140.83598242920624,60.083519278031815,47500
