segment_id,is_main,dist_along_line,dist_from_terminus,longitude,latitude,class
0,0,0.0,55088.51645094941,-140.61237179954412,60.29136105495201,Black
0,0,500.0,54638.771025988695,-140.6165367788536,60.28789077003489,Black
0,0,1000.0,54144.55743655728,-140.62131430095928,60.284126412694086,Black
0,0,1500.0,53663.836262324694,-140.62741160223462,60.280818080299774,Black
0,0,2000.0,53186.09590559293,-140.63362288414066,60.27756348308632,Black
0,0,2500.0,52691.56365226665,-140.638651483081,60.27385358788938,Black
0,0,3000.0,52197.854851562064,-140.64160557886322,60.26965169764158,Black
0,0,3500.0,51740.85190010721,-140.6419930909064,60.265191302977776,Black
1,0,0.0,39870.28358956926,-140.7016501481774,60.16074221689629,Red
1,0,500.0,39628.7434072927,-140.7106886196794,60.16076225611641,Red
1,0,1000.0,39539.18825636673,-140.7192151751149,60.162138077237636,Red
1,0,1500.0,39586.166632440654,-140.72677053488567,60.16457845590231,Red
1,0,2000.0,39701.87109794697,-140.73364888585277,60.16747530009659,Red
1,0,2500.0,39857.95200973177,-140.74009337220514,60.17060953570337,Red
1,0,3000.0,40023.13133049811,-140.74649400768212,60.173767165780845,Red
1,0,3500.0,40184.19106155382,-140.75302519960377,60.17685877045131,Red
1,0,4000.0,40284.44216294863,-140.76026877188167,60.179456911814086,Red
2,0,0.0,37993.528823685214,-140.73275402576817,60.150047080401315,Red
2,0,500.0,38062.20250800941,-140.74004020242222,60.152632312183435,Red
2,0,1000.0,38216.24605620996,-140.74643980551576,60.15578765225927,Red
2,0,1500.0,38413.57545883371,-140.7522988991655,60.15918424774688,Red
2,0,2000.0,38662.96199306948,-140.75728294412204,60.16283696963985,Red
2,0,2500.0,38849.86179381213,-140.76346199745916,60.16609973164106,Red
2,0,3000.0,39032.36367652994,-140.76978269498403,60.16929608840254,Red
2,0,3500.0,39227.16044819716,-140.77600865185545,60.17253765957922,Red
2,0,4000.0,39464.15732504561,-140.7816508757718,60.176015349271076,Red
3,0,0.0,35949.51924977301,-140.8016952804993,60.146095448558555,Red
3,0,500.0,36374.91846748063,-140.80286387913338,60.150463014789615,Red
3,0,1000.0,36644.03273033217,-140.8080471258594,60.15411081200437,Red
3,0,1500.0,36853.09758079378,-140.81428811646992,60.15733955839462,Red
3,0,2000.0,36974.54591243544,-140.8216780309021,60.15989061947836,Red
3,0,2500.0,36976.32921424276,-140.83012750386467,60.161432274795,Red
3,0,3000.0,36859.639180479404,-140.8390971650923,60.161878269347675,Red
3,0,3500.0,36708.95155060985,-140.84813422290333,60.16195447956367,Red
4,0,0.0,52552.91609508368,-140.5395147186169,60.24472100413478,Black
4,0,500.0,52442.613374918554,-140.54799280467023,60.24624192534751,Black
4,0,1000.0,52433.702369176404,-140.5557364135499,60.24855714620712,Black
4,0,1500.0,52287.21678426381,-140.5644403915392,60.24966963952293,Black
4,0,2000.0,52292.75746788973,-140.57212552300226,60.25201988248996,Black
4,0,2500.0,52291.1721501703,-140.57991694207377,60.25427693754301,Black
4,0,3000.0,52083.93281098258,-140.58891952010822,60.25470734204146,Black
4,0,3500.0,51845.94686271828,-140.5979815083036,60.254797502324585,Black
5,0,0.0,45602.352062344,-140.83197148724497,60.242622309387265,Red
